"list_date","list_age","list_gender","list_death"
2020-04-14,"10 - 19","M",1
2020-04-14,"30 - 39","F",2
2020-04-14,"30 - 39","M",5
2020-04-14,"40 - 49","F",10
2020-04-14,"40 - 49","M",18
2020-04-14,"50 - 59","F",11
2020-04-14,"50 - 59","M",18
2020-04-14,"60 - 69","F",9
2020-04-14,"60 - 69","M",17
2020-04-14,"70 - 79","F",22
2020-04-14,"70 - 79","M",30
2020-04-14,"80 - 89","F",21
2020-04-14,"80 - 89","M",21
2020-04-14,"90 - 99","F",3
2020-04-15,"20 - 29","F",4
2020-04-15,"30 - 39","F",3
2020-04-15,"30 - 39","M",5
2020-04-15,"40 - 49","F",6
2020-04-15,"40 - 49","M",12
2020-04-15,"50 - 59","F",5
2020-04-15,"50 - 59","M",18
2020-04-15,"60 - 69","F",22
2020-04-15,"60 - 69","M",40
2020-04-15,"70 - 79","F",15
2020-04-15,"70 - 79","M",28
2020-04-15,"80 - 89","F",24
2020-04-15,"80 - 89","M",23
2020-04-15,"90 - 99","F",9
2020-04-15,"90 - 99","M",4
2020-04-16,"10 - 19","M",3
2020-04-16,"20 - 29","M",4
2020-04-16,"30 - 39","F",5
2020-04-16,"30 - 39","M",2
2020-04-16,"40 - 49","F",4
2020-04-16,"40 - 49","M",16
2020-04-16,"50 - 59","F",6
2020-04-16,"50 - 59","M",19
2020-04-16,"60 - 69","F",24
2020-04-16,"60 - 69","M",36
2020-04-16,"70 - 79","F",9
2020-04-16,"70 - 79","M",35
2020-04-16,"80 - 89","F",17
2020-04-16,"80 - 89","M",13
2020-04-16,"90 - 99","F",5
2020-04-16,"90 - 99","M",3
2020-04-16,"> 100","F",1
2020-04-17,"10 - 19","F",1
2020-04-17,"20 - 29","F",1
2020-04-17,"20 - 29","M",3
2020-04-17,"30 - 39","F",4
2020-04-17,"30 - 39","M",11
2020-04-17,"40 - 49","F",7
2020-04-17,"40 - 49","M",12
2020-04-17,"50 - 59","F",5
2020-04-17,"50 - 59","M",26
2020-04-17,"60 - 69","F",16
2020-04-17,"60 - 69","M",23
2020-04-17,"70 - 79","F",17
2020-04-17,"70 - 79","M",31
2020-04-17,"80 - 89","F",26
2020-04-17,"80 - 89","M",27
2020-04-17,"90 - 99","F",8
2020-04-17,"90 - 99","M",3
2020-04-18,"20 - 29","F",1
2020-04-18,"30 - 39","F",6
2020-04-18,"30 - 39","M",8
2020-04-18,"40 - 49","F",9
2020-04-18,"40 - 49","M",14
2020-04-18,"50 - 59","F",11
2020-04-18,"50 - 59","M",33
2020-04-18,"60 - 69","F",12
2020-04-18,"60 - 69","M",28
2020-04-18,"70 - 79","F",26
2020-04-18,"70 - 79","M",32
2020-04-18,"80 - 89","F",25
2020-04-18,"80 - 89","M",27
2020-04-18,"90 - 99","F",11
2020-04-18,"90 - 99","M",4
2020-04-19,"10 - 19","F",2
2020-04-19,"10 - 19","M",3
2020-04-19,"20 - 29","F",2
2020-04-19,"20 - 29","M",1
2020-04-19,"30 - 39","F",4
2020-04-19,"30 - 39","M",9
2020-04-19,"40 - 49","F",8
2020-04-19,"40 - 49","M",16
2020-04-19,"50 - 59","F",12
2020-04-19,"50 - 59","M",19
2020-04-19,"60 - 69","F",14
2020-04-19,"60 - 69","M",23
2020-04-19,"70 - 79","F",21
2020-04-19,"70 - 79","M",36
2020-04-19,"80 - 89","F",25
2020-04-19,"80 - 89","M",26
2020-04-19,"90 - 99","F",8
2020-04-19,"90 - 99","M",11
2020-04-19,"> 100","F",1
2020-04-20,"< 9","F",1
2020-04-20,"10 - 19","F",1
2020-04-20,"10 - 19","M",1
2020-04-20,"20 - 29","F",1
2020-04-20,"20 - 29","M",1
2020-04-20,"30 - 39","F",4
2020-04-20,"30 - 39","M",4
2020-04-20,"40 - 49","F",4
2020-04-20,"40 - 49","M",11
2020-04-20,"50 - 59","F",18
2020-04-20,"50 - 59","M",20
2020-04-20,"60 - 69","F",23
2020-04-20,"60 - 69","M",40
2020-04-20,"70 - 79","F",30
2020-04-20,"70 - 79","M",33
2020-04-20,"80 - 89","F",28
2020-04-20,"80 - 89","M",26
2020-04-20,"90 - 99","F",14
2020-04-20,"90 - 99","M",4
2020-04-20,"> 100","M",1
2020-04-21,"10 - 19","F",2
2020-04-21,"10 - 19","M",1
2020-04-21,"20 - 29","M",3
2020-04-21,"30 - 39","F",4
2020-04-21,"30 - 39","M",4
2020-04-21,"40 - 49","F",8
2020-04-21,"40 - 49","M",18
2020-04-21,"50 - 59","F",7
2020-04-21,"50 - 59","M",20
2020-04-21,"60 - 69","F",18
2020-04-21,"60 - 69","M",40
2020-04-21,"70 - 79","F",31
2020-04-21,"70 - 79","M",39
2020-04-21,"80 - 89","F",16
2020-04-21,"80 - 89","M",18
2020-04-21,"90 - 99","F",4
2020-04-21,"90 - 99","M",9
2020-04-21,"> 100","F",1
2020-04-22,"10 - 19","F",2
2020-04-22,"10 - 19","M",2
2020-04-22,"20 - 29","M",4
2020-04-22,"30 - 39","F",5
2020-04-22,"30 - 39","M",10
2020-04-22,"40 - 49","F",10
2020-04-22,"40 - 49","M",12
2020-04-22,"50 - 59","F",16
2020-04-22,"50 - 59","M",37
2020-04-22,"60 - 69","F",16
2020-04-22,"60 - 69","M",41
2020-04-22,"70 - 79","F",22
2020-04-22,"70 - 79","M",43
2020-04-22,"80 - 89","F",25
2020-04-22,"80 - 89","M",15
2020-04-22,"90 - 99","F",12
2020-04-22,"90 - 99","M",5
2020-04-22,"> 100","F",1
2020-04-22,"> 100","M",1
2020-04-23,"10 - 19","F",2
2020-04-23,"20 - 29","F",1
2020-04-23,"30 - 39","F",5
2020-04-23,"30 - 39","M",7
2020-04-23,"40 - 49","F",10
2020-04-23,"40 - 49","M",18
2020-04-23,"50 - 59","F",16
2020-04-23,"50 - 59","M",23
2020-04-23,"60 - 69","F",18
2020-04-23,"60 - 69","M",42
2020-04-23,"70 - 79","F",26
2020-04-23,"70 - 79","M",46
2020-04-23,"80 - 89","F",23
2020-04-23,"80 - 89","M",18
2020-04-23,"90 - 99","F",11
2020-04-23,"90 - 99","M",7
2020-04-23,"> 100","F",2
2020-04-24,"10 - 19","M",4
2020-04-24,"20 - 29","F",1
2020-04-24,"20 - 29","M",1
2020-04-24,"30 - 39","F",5
2020-04-24,"30 - 39","M",2
2020-04-24,"40 - 49","F",8
2020-04-24,"40 - 49","M",15
2020-04-24,"50 - 59","F",10
2020-04-24,"50 - 59","M",22
2020-04-24,"60 - 69","F",28
2020-04-24,"60 - 69","M",23
2020-04-24,"70 - 79","F",25
2020-04-24,"70 - 79","M",31
2020-04-24,"80 - 89","F",26
2020-04-24,"80 - 89","M",32
2020-04-24,"90 - 99","F",4
2020-04-24,"90 - 99","M",5
2020-04-24,"> 100","F",1
2020-04-25,"< 9","F",1
2020-04-25,"10 - 19","M",2
2020-04-25,"20 - 29","M",1
2020-04-25,"30 - 39","F",10
2020-04-25,"30 - 39","M",8
2020-04-25,"40 - 49","F",9
2020-04-25,"40 - 49","M",11
2020-04-25,"50 - 59","F",9
2020-04-25,"50 - 59","M",21
2020-04-25,"60 - 69","F",27
2020-04-25,"60 - 69","M",42
2020-04-25,"70 - 79","F",18
2020-04-25,"70 - 79","M",36
2020-04-25,"80 - 89","F",26
2020-04-25,"80 - 89","M",19
2020-04-25,"90 - 99","F",6
2020-04-25,"90 - 99","M",5
2020-04-25,"> 100","F",1
2020-04-26,"20 - 29","M",2
2020-04-26,"30 - 39","F",6
2020-04-26,"30 - 39","M",8
2020-04-26,"40 - 49","F",5
2020-04-26,"40 - 49","M",10
2020-04-26,"50 - 59","F",15
2020-04-26,"50 - 59","M",23
2020-04-26,"60 - 69","F",25
2020-04-26,"60 - 69","M",23
2020-04-26,"70 - 79","F",21
2020-04-26,"70 - 79","M",35
2020-04-26,"80 - 89","F",30
2020-04-26,"80 - 89","M",22
2020-04-26,"90 - 99","F",8
2020-04-26,"90 - 99","M",6
2020-04-27,"< 9","M",1
2020-04-27,"10 - 19","F",2
2020-04-27,"10 - 19","M",2
2020-04-27,"20 - 29","F",2
2020-04-27,"20 - 29","M",1
2020-04-27,"30 - 39","F",3
2020-04-27,"30 - 39","M",1
2020-04-27,"40 - 49","F",7
2020-04-27,"40 - 49","M",10
2020-04-27,"50 - 59","F",11
2020-04-27,"50 - 59","M",13
2020-04-27,"60 - 69","F",23
2020-04-27,"60 - 69","M",23
2020-04-27,"70 - 79","F",18
2020-04-27,"70 - 79","M",28
2020-04-27,"80 - 89","F",20
2020-04-27,"80 - 89","M",25
2020-04-27,"90 - 99","F",6
2020-04-27,"90 - 99","M",2
2020-04-28,"20 - 29","F",2
2020-04-28,"20 - 29","M",1
2020-04-28,"30 - 39","F",2
2020-04-28,"30 - 39","M",1
2020-04-28,"40 - 49","F",4
2020-04-28,"40 - 49","M",4
2020-04-28,"50 - 59","F",5
2020-04-28,"50 - 59","M",16
2020-04-28,"60 - 69","F",11
2020-04-28,"60 - 69","M",16
2020-04-28,"70 - 79","F",7
2020-04-28,"70 - 79","M",15
2020-04-28,"80 - 89","F",17
2020-04-28,"80 - 89","M",11
