"state_code.x","state","uf","mesorregiao_code","mesorregiao","microrregiao_code","microrregiao","RM","municipio_code","municipio","city_without_symbol","city","year","month","number_deaths"
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,8,211
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,9,216
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,10,199
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,11,196
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2019,12,234
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2020,1,227
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2020,2,187
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2020,3,228
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2020,4,220
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2020,5,302
32,"ES","Espírito Santo","03","Central Espírito-santense","009","Vitória","RM Vitória",3205309,"Vitória","vitoria","Vitória",2020,6,333
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,1,881
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,2,740
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,3,899
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,4,859
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,5,928
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,6,851
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,7,986
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,8,792
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,9,837
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,10,898
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,11,887
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2019,12,861
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2020,1,908
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2020,2,777
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2020,3,795
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2020,4,826
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2020,5,895
52,"GO","Goiás","03","Centro Goiano","010","Goiânia","RM Goiania",5208707,"Goiânia","goiania","Goiânia",2020,6,1022
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,1,558
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,2,492
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,3,529
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,4,525
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,5,609
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,6,414
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,7,373
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,8,315
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,9,374
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,10,368
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,11,339
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2019,12,474
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2020,1,542
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2020,2,526
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2020,3,487
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2020,4,851
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2020,5,1069
21,"MA","Maranhão","01","Norte Maranhense","002","Aglomeração Urbana de São Luís","RM São Luís",2111300,"São Luís","sao luis","São Luís",2020,6,698
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,1,1132
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,2,983
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,3,1128
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,4,1074
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,5,1226
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,6,1226
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,7,775
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,8,645
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,9,984
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,10,1020
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,11,836
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2019,12,990
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2020,1,1566
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2020,2,1397
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2020,3,1630
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2020,4,1420
31,"MG","Minas Gerais","07","Metropolitana de Belo Horizonte","030","Belo Horizonte","RM BH",3106200,"Belo Horizonte","belo horizonte","Belo Horizonte",2020,5,1524
