"state","number_deaths","month","year"
"RR",189,4,2020
"SC",3459,4,2020
"SP",27885,4,2020
"SE",991,4,2020
"TO",461,4,2020
"AC",280,5,2020
"AL",1256,5,2020
"AP",111,5,2020
"AM",2017,5,2020
"BA",3151,5,2020
"CE",4929,5,2020
"DF",827,5,2020
"ES",1584,5,2020
"GO",1763,5,2020
"MA",1896,5,2020
"MT",418,5,2020
"MS",622,5,2020
"MG",4433,5,2020
"PA",1670,5,2020
"PB",1642,5,2020
"PR",3543,5,2020
"PE",5828,5,2020
"PI",511,5,2020
"RJ",12813,5,2020
"RN",822,5,2020
"RS",4852,5,2020
"RO",556,5,2020
"RR",116,5,2020
"SC",2268,5,2020
"SP",19718,5,2020
"SE",626,5,2020
"TO",298,5,2020
