"rm","cidade","state","state_code","cod_ibge","capital","year","month","number_deaths"
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,5,4475
"Fortaleza","Fortaleza","CE",23,"2304400",1,2020,6,2615
"Salvador","Salvador","BA",29,"2927408",1,2019,1,1165
"Salvador","Salvador","BA",29,"2927408",1,2019,2,1119
"Salvador","Salvador","BA",29,"2927408",1,2019,3,1141
"Salvador","Salvador","BA",29,"2927408",1,2019,4,1079
"Salvador","Salvador","BA",29,"2927408",1,2019,5,1280
"Salvador","Salvador","BA",29,"2927408",1,2019,6,1132
"Salvador","Salvador","BA",29,"2927408",1,2019,7,1286
"Salvador","Salvador","BA",29,"2927408",1,2019,8,1269
"Salvador","Salvador","BA",29,"2927408",1,2019,9,1256
"Salvador","Salvador","BA",29,"2927408",1,2019,10,1388
"Salvador","Salvador","BA",29,"2927408",1,2019,11,1155
"Salvador","Salvador","BA",29,"2927408",1,2019,12,1192
"Salvador","Salvador","BA",29,"2927408",1,2020,1,1322
"Salvador","Salvador","BA",29,"2927408",1,2020,2,1185
"Salvador","Salvador","BA",29,"2927408",1,2020,3,1381
"Salvador","Salvador","BA",29,"2927408",1,2020,4,1502
"Salvador","Salvador","BA",29,"2927408",1,2020,5,2208
"Salvador","Salvador","BA",29,"2927408",1,2020,6,2814
"Curitiba","Curitiba","PR",41,"4106902",1,2019,1,946
"Curitiba","Curitiba","PR",41,"4106902",1,2019,2,796
"Curitiba","Curitiba","PR",41,"4106902",1,2019,3,964
"Curitiba","Curitiba","PR",41,"4106902",1,2019,4,889
"Curitiba","Curitiba","PR",41,"4106902",1,2019,5,965
"Curitiba","Curitiba","PR",41,"4106902",1,2019,6,1041
"Curitiba","Curitiba","PR",41,"4106902",1,2019,7,1129
"Curitiba","Curitiba","PR",41,"4106902",1,2019,8,1005
"Curitiba","Curitiba","PR",41,"4106902",1,2019,9,1040
"Curitiba","Curitiba","PR",41,"4106902",1,2019,10,945
"Curitiba","Curitiba","PR",41,"4106902",1,2019,11,880
"Curitiba","Curitiba","PR",41,"4106902",1,2019,12,956
"Curitiba","Curitiba","PR",41,"4106902",1,2020,1,896
"Curitiba","Curitiba","PR",41,"4106902",1,2020,2,851
"Curitiba","Curitiba","PR",41,"4106902",1,2020,3,938
"Curitiba","Curitiba","PR",41,"4106902",1,2020,4,953
"Curitiba","Curitiba","PR",41,"4106902",1,2020,5,953
"Curitiba","Curitiba","PR",41,"4106902",1,2020,6,1119
"Campinas","Campinas","SP",35,"3509502",1,2019,1,691
"Campinas","Campinas","SP",35,"3509502",1,2019,2,565
"Campinas","Campinas","SP",35,"3509502",1,2019,3,610
"Campinas","Campinas","SP",35,"3509502",1,2019,4,665
"Campinas","Campinas","SP",35,"3509502",1,2019,5,808
"Campinas","Campinas","SP",35,"3509502",1,2019,6,658
"Campinas","Campinas","SP",35,"3509502",1,2019,7,771
"Campinas","Campinas","SP",35,"3509502",1,2019,8,676
"Campinas","Campinas","SP",35,"3509502",1,2019,9,675
"Campinas","Campinas","SP",35,"3509502",1,2019,10,668
"Campinas","Campinas","SP",35,"3509502",1,2019,11,679
"Campinas","Campinas","SP",35,"3509502",1,2019,12,594
"Campinas","Campinas","SP",35,"3509502",1,2020,1,713
"Campinas","Campinas","SP",35,"3509502",1,2020,2,498
"Campinas","Campinas","SP",35,"3509502",1,2020,3,743
"Campinas","Campinas","SP",35,"3509502",1,2020,4,663
"Campinas","Campinas","SP",35,"3509502",1,2020,5,634
"Campinas","Campinas","SP",35,"3509502",1,2020,6,902
"Manaus","Manaus","AM",13,"1302603",1,2019,1,1013
"Manaus","Manaus","AM",13,"1302603",1,2019,2,1016
"Manaus","Manaus","AM",13,"1302603",1,2019,3,1056
"Manaus","Manaus","AM",13,"1302603",1,2019,4,1026
"Manaus","Manaus","AM",13,"1302603",1,2019,5,1025
"Manaus","Manaus","AM",13,"1302603",1,2019,6,965
"Manaus","Manaus","AM",13,"1302603",1,2019,7,1068
"Manaus","Manaus","AM",13,"1302603",1,2019,8,1072
"Manaus","Manaus","AM",13,"1302603",1,2019,9,997
"Manaus","Manaus","AM",13,"1302603",1,2019,10,1053
"Manaus","Manaus","AM",13,"1302603",1,2019,11,919
"Manaus","Manaus","AM",13,"1302603",1,2019,12,1024
"Manaus","Manaus","AM",13,"1302603",1,2020,1,1121
"Manaus","Manaus","AM",13,"1302603",1,2020,2,976
"Manaus","Manaus","AM",13,"1302603",1,2020,3,1048
"Manaus","Manaus","AM",13,"1302603",1,2020,4,2656
"Manaus","Manaus","AM",13,"1302603",1,2020,5,2213
"Manaus","Manaus","AM",13,"1302603",1,2020,6,1197
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,1,326
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,2,342
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,3,306
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,4,354
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,5,377
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,6,364
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,7,483
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,8,396
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,9,389
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,10,425
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,11,343
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2019,12,310
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2020,1,414
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2020,2,323
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2020,3,380
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2020,4,332
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2020,5,366
"Vale do Paraíba e Litoral Norte","São José dos Campos","SP",35,"3549904",1,2020,6,415
"Goiania","Goiânia","GO",52,"5208707",1,2019,1,881
"Goiania","Goiânia","GO",52,"5208707",1,2019,2,740
"Goiania","Goiânia","GO",52,"5208707",1,2019,3,899
"Goiania","Goiânia","GO",52,"5208707",1,2019,4,859
"Goiania","Goiânia","GO",52,"5208707",1,2019,5,928
